internal_period,time_interval,price_yuan_per_kWh,load_kWh,pv_kWh,grid_purchase_kWh,charge_kWh,discharge_kWh,curtailment_kWh,end_SOC_kWh,charge_indicator
1,00:00-00:10,0.4248,573.3077666666666,0.0,1406.6411,833.33333,0.0,0.0,6750.0,1
2,00:10-00:20,0.4245,572.9965333333333,0.0,1406.3299,833.33333,0.0,0.0,7500.0,1
3,00:20-00:30,0.4269,574.0505166666667,0.0,1407.3838,833.33333,0.0,0.0,8250.0,1
4,00:30-00:40,0.4272,575.7406166666666,0.0,1409.074,833.33333,0.0,0.0,9000.0,1
5,00:40-00:50,0.4271,576.4712166666666,0.0,1409.8046,833.33333,0.0,0.0,9750.0,1
6,00:50-01:00,0.4285,576.6400166666666,0.0,576.64002,0.0,0.0,0.0,9750.0,0
7,01:00-01:10,0.4311,577.8597,0.0,577.8597,0.0,0.0,0.0,9750.0,0
8,01:10-01:20,0.4302,577.9938666666667,0.0,577.99387,0.0,0.0,0.0,9750.0,0
9,01:20-01:30,0.4279,577.82805,0.0,911.16138,333.33333,0.0,0.0,10050.0,1
10,01:30-01:40,0.4312,580.41545,0.0,580.41545,0.0,0.0,0.0,10050.0,0
11,01:40-01:50,0.4333,582.5140166666666,0.0,582.51402,0.0,0.0,0.0,10050.0,0
12,01:50-02:00,0.4311,583.0740499999999,0.0,583.07405,0.0,0.0,0.0,10050.0,0
13,02:00-02:10,0.4293,584.2049166666666,0.0,584.20492,0.0,0.0,0.0,10050.0,0
14,02:10-02:20,0.4324,585.4397833333333,0.0,585.43978,0.0,0.0,0.0,10050.0,0
15,02:20-02:30,0.4367,586.1447499999999,0.0,586.14475,0.0,0.0,0.0,10050.0,0
16,02:30-02:40,0.4348,586.3207666666666,0.0,586.32077,0.0,0.0,0.0,10050.0,0
17,02:40-02:50,0.4335,586.4253,0.0,586.4253,0.0,0.0,0.0,10050.0,0
18,02:50-03:00,0.4357,586.8496,0.0,586.8496,0.0,0.0,0.0,10050.0,0
19,03:00-03:10,0.4374,587.8210166666667,0.0,587.82102,0.0,0.0,0.0,10050.0,0
20,03:10-03:20,0.4371,589.5475666666666,0.0,589.54757,0.0,0.0,0.0,10050.0,0
21,03:20-03:30,0.4356,590.8134666666666,0.0,590.81347,0.0,0.0,0.0,10050.0,0
22,03:30-03:40,0.4353,590.2131166666666,0.0,590.21312,0.0,0.0,0.0,10050.0,0
23,03:40-03:50,0.436,591.0662666666666,0.0,591.06627,0.0,0.0,0.0,10050.0,0
24,03:50-04:00,0.4378,593.3678333333332,0.0,593.36783,0.0,0.0,0.0,10050.0,0
25,04:00-04:10,0.4401,593.6596833333333,0.0,593.65968,0.0,0.0,0.0,10050.0,0
26,04:10-04:20,0.4389,592.7863833333333,0.0,592.78638,0.0,0.0,0.0,10050.0,0
27,04:20-04:30,0.4364,593.3378666666666,0.0,593.33787,0.0,0.0,0.0,10050.0,0
28,04:30-04:40,0.4393,596.7756666666667,0.0999,596.67577,0.0,0.0,0.0,10050.0,0
29,04:40-04:50,0.4422,597.8193333333334,0.03908333333333333,597.78025,0.0,0.0,0.0,10050.0,0
30,04:50-05:00,0.4395,595.2105833333333,0.048083333333333325,595.1625,0.0,0.0,0.0,10050.0,0
31,05:00-05:10,0.4333,593.7195166666667,3.1130166666666668,590.6065,0.0,0.0,0.0,10050.0,0
32,05:10-05:20,0.4439,598.5634833333334,9.078299999999999,589.48518,0.0,0.0,0.0,10050.0,0
33,05:20-05:30,0.4301,596.6174166666666,18.161966666666665,578.45545,0.0,0.0,0.0,10050.0,0
34,05:30-05:40,0.3713,581.0198333333333,30.693383333333333,1383.6598,833.33333,0.0,0.0,10800.0,1
35,05:40-05:50,0.5708,637.3165666666666,46.17636666666667,591.1402,0.0,0.0,0.0,10800.0,0
36,05:50-06:00,0.9099,733.0121166666665,64.75823333333332,0.0,0.0,668.25388,0.0,10057.496,0
37,06:00-06:10,0.9368,742.3353833333333,86.88005,0.0,0.0,655.45533,0.0,9329.212,0
38,06:10-06:20,0.8758,728.6319833333333,112.12795,0.0,0.0,616.50403,0.0,8644.2075,0
39,06:20-06:30,0.8759,732.1588333333334,140.70434999999998,0.0,0.0,591.45448,0.0,7987.0359,0
