risk_q,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_grid_kWh
0.60,12517851.48,3119271.52,15637123.00,813986.28
0.70,12913166.42,2222671.98,15135838.40,580989.04
0.75,13137172.48,1815549.71,14952722.19,474996.70
0.80,13387808.96,1434758.36,14822567.31,375762.45
0.83,13559967.32,1218606.64,14778573.96,319533.29
0.84,13622171.25,1148144.69,14770315.93,301285.74
0.85,13689047.29,1074132.32,14763179.62,282024.16
0.86,13757964.47,1004310.54,14762275.01,263887.16
0.87,13830633.57,933810.31,14764443.88,245562.53
0.90,14098838.65,733360.33,14832198.98,193363.10
0.95,14789874.49,408748.29,15198622.78,107897.08
