date,soc_start_kWh,soc_end_kWh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_grid_kWh,emergency_grid_kWh,emergency_intervals,charge_kWh,discharge_kWh,surplus_kWh,solve_time_s
2025-02-01,8550.0,8550.0,23150.325758664898,638.5294538665011,23788.855212531398,44669.24355299999,155.32358566666693,8,20857.028207800002,16894.192907,6483.555904533334,0.17274889999680454
2025-02-02,8550.0,8550.0,57060.378526355256,293.46932691999865,57353.847853275256,90655.07104420001,56.045689999999695,3,24720.7052,20023.771271999998,7657.904856200004,0.1658220999961486
2025-02-03,8550.0,8550.0,56265.35669156231,774.3477581283314,57039.70444969064,89561.9867617,216.8922983333331,12,24539.439319999998,19876.945912000003,4899.469152033337,0.17859270000190008
2025-02-04,8550.0,8550.0,56070.173299213406,3957.577255521997,60027.7505547354,89354.577215,994.7392239999995,11,24454.74038,19808.339789999998,4508.051899000004,0.1718892999997479
2025-02-05,8550.0,8550.0,55934.017769352504,2050.238904423167,57984.25667377567,89057.322687,567.050105666667,12,24409.999649999998,19772.099792,4238.045951333337,0.17745279999508057
2025-02-06,8550.0,8550.0,56291.35531467119,1141.2682706571668,57432.62358532836,89483.72123400001,264.5995530000004,13,24469.93079,19820.644,4827.976780333336,0.13659809999808203
2025-02-07,8550.0,8550.0,21997.31625899766,1287.9897542366664,23285.306013234327,42810.94771940001,236.89217009999993,8,20630.945255,16711.0656799,7322.280647733334,0.32597839999652933
2025-02-08,8550.0,8550.0,21379.2679362594,1631.1173986490012,23010.385334908402,41456.075471000004,301.6602413333337,8,20241.80264,16395.860184999998,6334.630540666668,0.20324889999756124
2025-02-09,8550.0,8550.0,54533.76347679275,3128.046309640166,57661.80978643292,87082.98377179999,985.9784903333333,11,24394.9865,19759.939140000002,3878.4989354666704,0.16413079999620095
2025-02-10,8550.0,8550.0,54771.5728441301,467.4182665533323,55238.99111068343,87482.987367,82.31401666666653,5,24509.50407,19852.69838,8581.858110333338,0.16033180000522407
2025-02-11,8550.0,8550.0,53960.53864343322,387.3804924533329,54347.91913588655,86449.1540976,71.22963333333325,5,24429.81903,19788.15345,6658.121017600002,0.15835159999551252
2025-02-12,8550.0,8550.0,53288.51443488069,1515.2832568179965,54803.79769169869,85440.49500676,332.0485369999993,14,24221.87182,19619.71624,5903.65183042667,0.14331529999617487
2025-02-13,8550.0,7950.0,52560.70062404688,452.741878371666,53013.44250241855,84032.85327420001,100.9798599999998,8,23393.052535,19488.372620000002,8899.674202533337,0.1677579999959562
2025-02-14,7950.0,7950.0,19426.975597963,3256.0264769646665,22683.002074927666,37714.678896,1025.7762246666668,10,19317.20815,15646.9385972,5268.383751200001,0.15608179999981076
2025-02-15,7950.0,8550.0,19351.7626367114,2742.326208444999,22094.0888451564,37609.817469999995,770.0723783333331,17,19476.604586,15236.049729,4859.2438913333335,0.1748924999992596
2025-02-16,8550.0,8550.0,50282.46906048722,5032.314224522594,55314.78328500982,81191.8819382,1329.9846218666653,20,23204.7668352,18795.861204,2735.5818288666696,0.13800060000357917
2025-02-17,8550.0,8550.0,49902.4688877433,1466.61673517733,51369.08562292063,80733.46618999999,363.0204713333328,10,23274.5739533,18852.404956,5490.45449736667,0.14218200000323122
2025-02-18,8550.0,8550.0,49298.15492918509,2352.5149357860455,51650.66986497113,79993.0123863,522.8519873666658,16,23277.197329000002,18854.529902000002,4001.809163333335,0.1303635000003851
2025-02-19,8550.0,8550.0,49008.9920677061,4044.953515994629,53053.94558370073,79603.027606,1032.7770645333321,21,23278.1219332,18855.278823,3333.634177000001,0.1413170999949216
2025-02-20,8550.0,7335.2639,48247.313478131,2274.914363644163,50522.227841775166,77960.39827599999,520.6071976666655,18,21923.404677,18851.220384,4415.6874473333355,0.1448383999959333
2025-02-21,7335.2639,7020.3093,18102.5393991354,2200.1838255149987,20302.7232246504,35161.950561,578.5489899999995,17,17879.81955,14766.1129371,7066.530904766667,0.18825610000203596
2025-02-22,7020.3093,8550.0,18582.150703671043,6449.43183067523,25031.58253434627,36518.0302801,1641.1382514666661,19,19610.02217,14507.3963402,5211.779818433333,0.16790000000037253
2025-02-23,8550.0,8550.0,47371.005817583995,5083.771293012165,52454.77711059616,77221.850825,1420.9518869999997,19,23138.693588,18742.341859300002,2714.597299966668,0.1676560999985668
2025-02-24,8550.0,8550.0,46891.3533022538,2650.4646225481606,49541.817924801966,76621.93598400001,582.2492673333322,11,23095.114045,18707.0424415,4613.080031166669,0.19670139999652747
2025-02-25,8550.0,8550.0,46625.1679619441,2097.573008666166,48722.74097061026,76217.45940299999,569.8523136666665,13,23047.327746119998,18668.335550000003,6586.9962872133365,0.15457379999861587
2025-02-26,8550.0,8550.0,45925.0623880153,4578.947062670293,50504.0094506856,75195.18852699999,1109.7785397333314,21,22885.367531000004,18537.1477481,3141.899250500001,0.1505133000027854
2025-02-27,8550.0,6621.7549,44574.3393663323,4016.5464825968256,48590.88584892912,72406.190962,810.9041599999982,17,20695.7483677,18498.976824,4063.739378300003,0.17045540000253823
2025-02-28,6621.7549,6294.5436,17075.1344843262,5636.770194577333,22711.904678903535,33324.768552,1602.0053280000002,19,17079.39739,14128.802064,8683.585004,0.16666669999540318
2025-03-01,6294.5436,8550.0,17956.88106639347,4558.019549492816,22514.900615886287,35549.557868899996,1092.4841821,19,19604.44755,13849.691781,7228.520348666668,0.1792522999967332
2025-03-02,8550.0,8550.0,44073.01486460712,23467.62398209382,67540.63884670094,72470.8842974,6177.349236666665,12,22669.371746,18362.191156,1982.745877400001,0.1677549999949406
2025-03-03,8550.0,8550.0,44372.31318290302,20411.310057696825,64783.623240599845,72969.8571394,5018.917830999999,14,22725.531807,18407.680806,1653.7773360666686,0.16159509999852162
2025-03-04,8550.0,8550.0,44976.944575438625,6285.834168899495,51262.778744338124,73856.4644418,1836.2825469999989,18,23144.628254000003,18747.148932,2095.809733466669,0.17425740000180667
2025-03-05,8550.0,8550.0,45655.7988870896,3182.9419724528307,48838.740859542435,74882.57051399999,724.4382013333329,16,23248.266284200003,18831.095738999997,5059.366153466668,0.14466259999608155
2025-03-06,8550.0,6168.389,44398.432450267326,3516.945148781331,47915.37759904866,71984.4655695,905.8172359999994,10,20677.9319356,18892.574782699998,5164.271519266668,0.17642869999690447
2025-03-07,6168.389,5712.2787,16315.7607915774,3607.1267912209996,19922.8875827984,31846.625116000003,943.2669593333333,12,16377.711673,13676.445763000002,9166.340632,0.1836154999982682
2025-03-08,5712.2787,8550.0,17631.80905591502,1568.2074786748308,19200.01653458985,34919.7450234,461.11286299999927,14,19595.2157,13318.175551,10040.678220733334,0.14282770000136225
2025-03-09,8550.0,8550.0,44513.428559482796,2023.1914854909978,46536.620044973795,73253.7912405,478.12068533333263,16,23254.0795978,18835.804551,5980.111829033336,0.2964116999937687
2025-03-10,8550.0,8550.0,43410.80528790185,8904.185047476994,52314.99033537885,71548.1424686,2870.1826766666654,22,22600.889857600003,18306.720839200003,2082.084676866669,0.21422069999971427
2025-03-11,8550.0,8550.0,43147.191896389995,5000.473217109571,48147.66511349956,71240.014519,1291.4403021666635,14,22384.759823300003,18131.6555015,4339.431699366669,0.16637959999934537
2025-03-12,8550.0,8550.0,42707.12910091168,3600.313464322327,46307.44256523401,70548.48193909999,1042.4604133333319,15,22098.51262969,17899.795288,4956.6903274100005,0.18808870000066236
2025-03-13,8550.0,5217.7938,40409.194030312,16408.501884642596,56817.695914954595,65708.55432,4526.1010117999995,12,18351.619746000004,17863.7976002,2201.2151693333362,0.15090529999724822
2025-03-14,5217.7938,4829.3834,15349.4377707031,4080.2398446011644,19429.677615304263,30053.142055000004,1006.1236616666663,16,15452.597319999999,12866.173163,12443.415576333333,0.1667042000044603
2025-03-15,4829.3834,8550.0,17116.5314309353,7260.258367943667,24376.78979887897,34170.186225,2256.8361330000002,19,19561.82933,12496.526799,8437.594677,0.16112450000218814
2025-03-16,8550.0,8550.0,41106.677102631395,7426.259068760494,48532.93617139189,68270.066884,1990.353036666665,20,21882.465207999998,17724.796895,2751.704674333334,0.1484749000010197
2025-03-17,8550.0,8550.0,40910.4040072245,2251.9928979408287,43162.396905165326,68091.087025,571.1426949999989,16,21872.259209000003,17716.5300116,6648.369089266669,0.1392894000018714
2025-03-18,8550.0,8550.0,39957.11868983197,7126.254851517059,47083.37354134903,66664.0924367,1573.085584599998,18,21703.221895600003,17579.6097997,2987.6075587333344,0.19140969999716617
2025-03-19,8550.0,8550.0,39919.2939966048,4423.7082898716635,44343.00228647646,66536.052058,977.4684809999992,14,21653.210611399998,17539.100651,3933.9401286000007,0.15824370000336785
